image_index,tissue_type,gt_channel,gt_class,gt_broad_class,gt_original_id,gt_uid,gt_area,gt_bbox_min_row,gt_bbox_min_col,gt_bbox_max_row,gt_bbox_max_col,gt_centroid_row,gt_centroid_col,gt_eccentricity,gt_solidity,gt_major_axis_length,gt_minor_axis_length,matched_iou_0.1,best_match_pred_id_iou_0.1,best_match_iou_0.1,best_match_gt_overlap_fraction_0.1,matched_iou_0.25,best_match_pred_id_iou_0.25,best_match_iou_0.25,best_match_gt_overlap_fraction_0.25,matched_iou_0.5,best_match_pred_id_iou_0.5,best_match_iou_0.5,best_match_gt_overlap_fraction_0.5,best_any_iou,best_any_pred_id,best_any_gt_overlap_fraction
114,Breast,0,neoplastic,neoplastic,97,114__ch0__id97,228.0,0,4,12,30,4.464912280701754,17.17543859649123,0.85849817698339,0.957983193277311,24.766968411358583,12.700912892357582,True,1.0,0.8307086614173228,0.9254385964912281,True,1.0,0.8307086614173228,0.9254385964912281,True,1.0,0.8307086614173228,0.9254385964912281,0.8307086614173228,1.0,0.9254385964912281
114,Breast,0,neoplastic,neoplastic,102,114__ch0__id102,67.0,0,164,5,183,1.5671641791044777,173.22388059701493,0.9525956401123978,0.9305555555555556,17.48103448580221,5.318417545108488,False,,,,False,,,,False,,,,0.0,,0.0
114,Breast,0,neoplastic,neoplastic,112,114__ch0__id112,466.0,0,207,20,234,9.0,220.15236051502146,0.702683091081334,0.9748953974895398,29.09269771129545,20.699540769440787,False,,,,False,,,,False,,,,0.0,,0.0
114,Breast,0,neoplastic,neoplastic,114,114__ch0__id114,895.0,0,142,36,174,17.509497206703912,157.35418994413408,0.6653319246038966,0.9654800431499461,39.16844121991332,29.241108701309415,True,2.0,0.585820895522388,0.7016759776536313,True,2.0,0.585820895522388,0.7016759776536313,True,2.0,0.585820895522388,0.7016759776536313,0.585820895522388,2.0,0.7016759776536313
114,Breast,0,neoplastic,neoplastic,117,114__ch0__id117,76.0,3,252,28,256,15.0,253.76315789473685,0.9829874592654828,0.926829268292683,23.664319132398465,4.346489015171073,False,,,,False,,,,False,,,,0.0,,0.0
114,Breast,0,neoplastic,neoplastic,118,114__ch0__id118,933.0,4,9,42,44,23.515541264737408,28.076098606645232,0.533250673909602,0.933,38.68249855261501,32.723741240653986,True,3.0,0.5329087048832272,0.5380493033226152,True,3.0,0.5329087048832272,0.5380493033226152,True,3.0,0.5329087048832272,0.5380493033226152,0.5329087048832272,3.0,0.5380493033226152
114,Breast,0,neoplastic,neoplastic,121,114__ch0__id121,9.0,26,0,35,1,30.0,0.0,1.0,1.0,10.327955589886445,0.0,False,,,,False,,,,False,,,,0.0,,0.0
114,Breast,0,neoplastic,neoplastic,128,114__ch0__id128,739.0,16,178,51,205,33.495263870094725,191.3788903924222,0.6392054391711207,0.9647519582245431,34.99549091820264,26.912793201042007,True,4.0,0.8393316195372751,0.8836265223274695,True,4.0,0.8393316195372751,0.8836265223274695,True,4.0,0.8393316195372751,0.8836265223274695,0.8393316195372751,4.0,0.8836265223274695
114,Breast,0,neoplastic,neoplastic,129,114__ch0__id129,911.0,21,207,58,238,38.96048298572997,221.98572996706915,0.68371676995854,0.9691489361702128,39.93602718042967,29.143215029520327,True,5.0,0.7905859750240154,0.9034028540065862,True,5.0,0.7905859750240154,0.9034028540065862,True,5.0,0.7905859750240154,0.9034028540065862,0.7905859750240154,5.0,0.9034028540065862
114,Breast,0,neoplastic,neoplastic,138,114__ch0__id138,430.0,42,0,67,21,54.10697674418605,9.944186046511629,0.5400006766779266,0.9750566893424036,25.510529838071857,21.471309441763456,True,6.0,0.8771929824561403,0.9302325581395349,True,6.0,0.8771929824561403,0.9302325581395349,True,6.0,0.8771929824561403,0.9302325581395349,0.8771929824561403,6.0,0.9302325581395349
114,Breast,0,neoplastic,neoplastic,141,114__ch0__id141,594.0,46,230,77,256,62.4006734006734,244.01683501683502,0.6590203753434131,0.9737704918032787,31.95780076830239,24.036263648929886,True,7.0,0.82996632996633,0.82996632996633,True,7.0,0.82996632996633,0.82996632996633,True,7.0,0.82996632996633,0.82996632996633,0.82996632996633,7.0,0.82996632996633
114,Breast,0,neoplastic,neoplastic,143,114__ch0__id143,840.0,52,122,90,159,70.91785714285714,142.12261904761905,0.8104969109718156,0.8974358974358975,44.74335456285166,26.208102731155435,True,9.0,0.4445479962721342,0.5678571428571428,True,9.0,0.4445479962721342,0.5678571428571428,False,,,,0.4445479962721342,9.0,0.5678571428571428
114,Breast,0,neoplastic,neoplastic,146,114__ch0__id146,356.0,54,171,75,193,64.29775280898876,181.72191011235955,0.5564766161253107,0.956989247311828,23.38875728139946,19.432859388018933,True,8.0,0.573469387755102,0.7893258426966292,True,8.0,0.573469387755102,0.7893258426966292,True,8.0,0.573469387755102,0.7893258426966292,0.573469387755102,8.0,0.7893258426966292
